reinforce train:   2%|▏         | 31/2000 [00:59<1:12:52,  2.22s/it]
[step=1] episode=1.0000 return=-102.2452 length=30.0000 global_step=30.0000 loss=-0.0013 policy_loss=-0.0013 entropy=1.9459
[step=2] episode=2.0000 return=-11.4379 length=26.0000 global_step=56.0000 loss=0.0016 policy_loss=0.0016 entropy=1.9458
[step=3] episode=3.0000 return=-26.0594 length=28.0000 global_step=84.0000 loss=0.0004 policy_loss=0.0004 entropy=1.9457
[step=4] episode=4.0000 return=13.2030 length=64.0000 global_step=148.0000 loss=0.0036 policy_loss=0.0036 entropy=1.9456
[step=5] episode=5.0000 return=-91.1305 length=29.0000 global_step=177.0000 loss=-0.0031 policy_loss=-0.0031 entropy=1.9455
[step=6] episode=6.0000 return=-102.1980 length=29.0000 global_step=206.0000 loss=0.0031 policy_loss=0.0031 entropy=1.9454
[step=7] episode=7.0000 return=-102.6983 length=44.0000 global_step=250.0000 loss=-0.0008 policy_loss=-0.0008 entropy=1.9454
[step=8] episode=8.0000 return=-108.7758 length=30.0000 global_step=280.0000 loss=-0.0058 policy_loss=-0.0058 entropy=1.9453
[step=9] episode=9.0000 return=-46.6123 length=28.0000 global_step=308.0000 loss=0.0011 policy_loss=0.0011 entropy=1.9451
[step=10] episode=10.0000 return=-99.5424 length=12.0000 global_step=320.0000 loss=-0.0295 policy_loss=-0.0295 entropy=1.9449
[step=11] episode=11.0000 return=-63.5848 length=72.0000 global_step=392.0000 loss=-0.0076 policy_loss=-0.0076 entropy=1.9447
[step=12] episode=12.0000 return=-112.5155 length=33.0000 global_step=425.0000 loss=-0.0189 policy_loss=-0.0189 entropy=1.9444
[step=13] episode=13.0000 return=-115.9756 length=21.0000 global_step=446.0000 loss=-0.0089 policy_loss=-0.0089 entropy=1.9439
[step=14] episode=14.0000 return=-87.8732 length=27.0000 global_step=473.0000 loss=-0.0060 policy_loss=-0.0060 entropy=1.9434
[step=15] episode=15.0000 return=-75.5002 length=13.0000 global_step=486.0000 loss=-0.0002 policy_loss=-0.0002 entropy=1.9428
[step=16] episode=16.0000 return=-52.5385 length=20.0000 global_step=506.0000 loss=-0.0004 policy_loss=-0.0004 entropy=1.9420
[step=17] episode=17.0000 return=-77.7904 length=19.0000 global_step=525.0000 loss=0.0230 policy_loss=0.0230 entropy=1.9414
[step=18] episode=18.0000 return=-90.9924 length=22.0000 global_step=547.0000 loss=-0.0166 policy_loss=-0.0166 entropy=1.9410
[step=19] episode=19.0000 return=-115.9964 length=20.0000 global_step=567.0000 loss=0.0121 policy_loss=0.0121 entropy=1.9404
[step=20] episode=20.0000 return=-89.8178 length=12.0000 global_step=579.0000 loss=-0.0191 policy_loss=-0.0191 entropy=1.9399
[step=21] episode=21.0000 return=-77.9529 length=28.0000 global_step=607.0000 loss=0.0380 policy_loss=0.0380 entropy=1.9395
[step=22] episode=22.0000 return=-74.0927 length=13.0000 global_step=620.0000 loss=0.0054 policy_loss=0.0054 entropy=1.9393
[step=23] episode=23.0000 return=-54.5712 length=20.0000 global_step=640.0000 loss=-0.0287 policy_loss=-0.0287 entropy=1.9394
[step=24] episode=24.0000 return=-87.9785 length=28.0000 global_step=668.0000 loss=-0.0333 policy_loss=-0.0333 entropy=1.9394
[step=25] episode=25.0000 return=-94.7566 length=21.0000 global_step=689.0000 loss=0.0346 policy_loss=0.0346 entropy=1.9383
