reinforce_tuned train:   1%|          | 31/3000 [01:08<1:14:33,  1.51s/it]
[step=1] episode=1.0000 return=143.4524 length=77.0000 global_step=77.0000 loss=0.0007 policy_loss=0.0007 entropy=1.9459
[step=2] episode=2.0000 return=-63.5674 length=21.0000 global_step=98.0000 loss=-0.0007 policy_loss=-0.0007 entropy=1.9459
[step=3] episode=3.0000 return=-41.3832 length=197.0000 global_step=295.0000 loss=-0.0003 policy_loss=-0.0003 entropy=1.9459
[step=4] episode=4.0000 return=-109.0514 length=20.0000 global_step=315.0000 loss=0.0011 policy_loss=0.0011 entropy=1.9459
[step=5] episode=5.0000 return=-92.4608 length=48.0000 global_step=363.0000 loss=-0.0022 policy_loss=-0.0022 entropy=1.9458
[step=6] episode=6.0000 return=-115.8370 length=12.0000 global_step=375.0000 loss=-0.0024 policy_loss=-0.0024 entropy=1.9458
[step=7] episode=7.0000 return=-108.8618 length=26.0000 global_step=401.0000 loss=-0.0003 policy_loss=-0.0003 entropy=1.9458
[step=8] episode=8.0000 return=-17.0869 length=34.0000 global_step=435.0000 loss=-0.0009 policy_loss=-0.0009 entropy=1.9458
[step=9] episode=9.0000 return=-109.0260 length=45.0000 global_step=480.0000 loss=-0.0004 policy_loss=-0.0004 entropy=1.9458
[step=10] episode=10.0000 return=-72.1257 length=38.0000 global_step=518.0000 loss=-0.0002 policy_loss=-0.0002 entropy=1.9457
[step=11] episode=11.0000 return=-115.9972 length=19.0000 global_step=537.0000 loss=0.0090 policy_loss=0.0090 entropy=1.9457
[step=12] episode=12.0000 return=-113.3908 length=13.0000 global_step=550.0000 loss=0.0042 policy_loss=0.0042 entropy=1.9457
[step=13] episode=13.0000 return=-94.7696 length=22.0000 global_step=572.0000 loss=-0.0010 policy_loss=-0.0010 entropy=1.9457
[step=14] episode=14.0000 return=-98.7712 length=22.0000 global_step=594.0000 loss=-0.0066 policy_loss=-0.0066 entropy=1.9457
[step=15] episode=15.0000 return=-115.8803 length=13.0000 global_step=607.0000 loss=-0.0008 policy_loss=-0.0008 entropy=1.9457
